business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,score,date,type,year,month
90313,TAHINI,2859 MISSION ST ,San Francisco,CA,94110,,,14152188424,86.0,2018-05-02,routine,2018.0,5.0
88577,TAI CHI JIANGBING,1325 9TH AVE ,San Francisco,CA,94122,,,14152159385,71.0,2016-11-09,routine,2016.0,11.0
88577,TAI CHI JIANGBING,1325 9TH AVE ,San Francisco,CA,94122,,,14152159385,91.0,2018-02-10,routine,2018.0,2.0
72049,TAI CHI RESTAURANT,2031 POLK ST ,San Francisco,CA,94109,,,14157225840,86.0,2016-03-30,routine,2016.0,3.0
72049,TAI CHI RESTAURANT,2031 POLK ST ,San Francisco,CA,94109,,,14157225840,86.0,2016-08-10,routine,2016.0,8.0
72049,TAI CHI RESTAURANT,2031 POLK ST ,San Francisco,CA,94109,,,14157225840,78.0,2017-07-12,routine,2017.0,7.0
72049,TAI CHI RESTAURANT,2031 POLK ST ,San Francisco,CA,94109,,,14157225840,82.0,2018-02-21,routine,2018.0,2.0
80460,TAI HING INC.,681 BROADWAY ST ,San Francisco,CA,,,,14156686668,90.0,2015-11-16,routine,2015.0,11.0
80460,TAI HING INC.,681 BROADWAY ST ,San Francisco,CA,,,,14156686668,88.0,2016-12-12,routine,2016.0,12.0
80460,TAI HING INC.,681 BROADWAY ST ,San Francisco,CA,,,,14156686668,90.0,2018-04-20,routine,2018.0,4.0
2263,TAIWAN RESTAURANT,445 CLEMENT ST ,San Francisco,CA,94118,37.782933,-122.46408899999999,14153871789,61.0,2016-05-18,routine,2016.0,5.0
2263,TAIWAN RESTAURANT,445 CLEMENT ST ,San Francisco,CA,94118,37.782933,-122.46408899999999,14153871789,68.0,2017-04-25,routine,2017.0,4.0
2263,TAIWAN RESTAURANT,445 CLEMENT ST ,San Francisco,CA,94118,37.782933,-122.46408899999999,14153871789,74.0,2017-11-20,routine,2017.0,11.0
2263,TAIWAN RESTAURANT,445 CLEMENT ST ,San Francisco,CA,94118,37.782933,-122.46408899999999,14153871789,65.0,2018-05-14,routine,2018.0,5.0
10990,TAK KEE LEE RESTAURANT,2435 NORIEGA ST,San Francisco,CA,94122,37.753623,-122.489929,14152420626,81.0,2016-05-31,routine,2016.0,5.0
10990,TAK KEE LEE RESTAURANT,2435 NORIEGA ST,San Francisco,CA,94122,37.753623,-122.489929,14152420626,84.0,2016-11-14,routine,2016.0,11.0
10990,TAK KEE LEE RESTAURANT,2435 NORIEGA ST,San Francisco,CA,94122,37.753623,-122.489929,14152420626,86.0,2017-11-14,routine,2017.0,11.0
3750,TAKARA RESTAURANT,22 PEACE PLAZA  #505,San Francisco,CA,94115,37.785018,-122.42958700000001,14159212000,80.0,2015-10-02,routine,2015.0,10.0
