,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
803,ROOFTOP,"59 Columbus Ave, San Francisco, CA 94111, USA",ChIJ39by1vSAhYARRAvTUT-rF4Q,"59 columbus ave bldg, San Francisco, CA, 94111",37.7961304,-122.4044626,1,94111,OK,street_address
804,ROOFTOP,"Moscone Center South, 747 Howard St, San Francisco, CA 94103, USA",ChIJR7QY7X2AhYARb0LgEWSL0LE,"747 howard st, San Francisco, CA, 94103",37.7836044,-122.4008882,1,94103,OK,premise
805,ROOFTOP,"1755 Polk St, San Francisco, CA 94109, USA",ChIJxR6rVeqAhYAR-yxEnajXAMs,"1755 polk st, San Francisco, CA, 94109",37.7930615,-122.4213973,1,94109,OK,premise
806,ROOFTOP,"28 6th St, San Francisco, CA 94103, USA",ChIJNUf2-ISAhYARrJlY6drGcNo,"28 6th st, San Francisco, CA, 94103",37.7817078,-122.410026,1,94103,OK,premise
807,ROOFTOP,"1398 Grant Ave, San Francisco, CA 94133, USA",ChIJM7M3_vOAhYAR1Rn1abZ9fL8,"1398 grant ave, San Francisco, CA, 94133",37.799607,-122.407305,1,94133,OK,street_address
808,ROOFTOP,"316 Pacific Ave, San Francisco, CA 94111, USA",ChIJAQMW9F-AhYAR-qqCEZHNte0,"316 pacific ave, San Francisco, CA, 94111",37.797721,-122.401153,1,94111,OK,street_address
809,ROOFTOP,"1060 Hyde St, San Francisco, CA 94109, USA",ChIJc5IhQZOAhYARjO8NOwrNtWs,"1060 hyde st, San Francisco, CA, 94109",37.7908583,-122.4171232,1,94109,OK,premise
810,ROOFTOP,"1728 Buchanan St, San Francisco, CA 94115, USA",ChIJG_InLb-AhYARb8KeTN36X9c,"1728 buchanan st, San Francisco, CA, 94115",37.7860607,-122.429759,1,94115,OK,premise
811,ROOFTOP,"1426 Polk St, San Francisco, CA 94109, USA",ChIJs_U6xJSAhYARv78iDIDeoKQ,"1426 polk st, San Francisco, CA, 94109",37.790078,-122.420403,1,94109,OK,street_address
812,ROOFTOP,"101 Howard St, San Francisco, CA 94105, USA",ChIJt0fDI2WAhYAR4fVozGkUa0o,"101 howard st, San Francisco, CA, 94105",37.7910383,-122.3926416,1,94105,OK,street_address
813,ROOFTOP,"595 Market Street, 595 Market St, San Francisco, CA 94105, USA",ChIJOctshWKAhYARZi7laAtM50A,"595 market st, San Francisco, CA, 94105",37.7892151,-122.4007997,1,94105,OK,premise
814,ROOFTOP,"2342 Clement St, San Francisco, CA 94121, USA",ChIJQ0bSuwWHhYARUWiktHwoJXY,"2342 clement st, San Francisco, CA, 94121",37.7822572,-122.4845474,1,94121,OK,premise
815,ROOFTOP,"2499 San Bruno Ave, San Francisco, CA 94134, USA",ChIJ9wPW3fx-j4ARJyWlxr6lqN0,"2499 san bruno ave, San Francisco, CA, 94134",37.7304492,-122.4046621,1,94134,OK,street_address
816,ROOFTOP,"751 Diamond St, San Francisco, CA 94114, USA",ChIJFU-hkg1-j4AR8jolt4tkFl0,"751 diamond st, San Francisco, CA, 94114",37.7513438,-122.4361294,1,94114,OK,premise
817,ROOFTOP,"4108 24th St, San Francisco, CA 94114, USA",ChIJSSGMZRJ-j4ARqWFgXSgNCW8,"4108 24th st, San Francisco, CA, 94114",37.7513637,-122.4344824,1,94114,OK,street_address
818,ROOFTOP,"2295 Market St, San Francisco, CA 94114, USA",ChIJrZdYYBx-j4ARGYBdmHdQ2I4,"2295 market st, San Francisco, CA, 94114",37.76443820000001,-122.4323947,1,94114,OK,street_address
819,ROOFTOP,"2157 Polk St, San Francisco, CA 94109, USA",ChIJtVEEu-mAhYARuFjbnezl6fI,"2157 polk st, San Francisco, CA, 94109",37.7967091,-122.4220965,1,94109,OK,street_address
820,ROOFTOP,"2560 Marin St, San Francisco, CA 94124, USA",ChIJxV7Tn1J-j4ARJHJ6xLTcX4o,"2560 marin st, San Francisco, CA, 9411",37.7487265,-122.403365,2,94124,OK,"car_repair,establishment,point_of_interest,store"
821,ROOFTOP,"2560 Marin St, San Francisco, CA 94124, USA",ChIJn0iYYU1-j4AR4RLy2Dql25g,"2560 marin st, San Francisco, CA, 94124",37.748668,-122.4031672,1,94124,OK,premise
822,ROOFTOP,"Civic Center Auditorium, 99 Grove St, San Francisco, CA 94102, USA",ChIJk2wa8puAhYARhO69p67t6pY,"99 grove st, San Francisco, CA, 94102",37.77814499999999,-122.4174374,1,94102,OK,premise
823,ROOFTOP,"451 Gough St, San Francisco, CA 94102, USA",ChIJY-7_j5iAhYAR7c_reCE239M,"451 gough st, San Francisco, CA, 94102",37.7774698,-122.4233431,1,94102,OK,street_address
824,ROOFTOP,"1256 7th Ave, San Francisco, CA 94122, USA",ChIJmTAVd1yHhYARmVioRzcsbEE,"1256 7th ave, San Francisco, CA, 94122",37.76487669999999,-122.4639738,1,94122,OK,street_address
825,ROOFTOP,"1555 Mission St, San Francisco, CA 94103, USA",ChIJjdle5J2AhYARXUsk8mXhp2c,"1555 mission st, San Francisco, CA, 94103",37.7733093,-122.4180432,1,94103,OK,street_address
826,ROOFTOP,"803 Cortland Ave, San Francisco, CA 94110, USA",ChIJjQ8Svll-j4ARu46rpYKQbvE,"803 cortland ave, San Francisco, CA, 9411",37.7390604,-122.4144811,1,94110,OK,"establishment,food,point_of_interest,restaurant"
827,ROOFTOP,"152 Kearny St, San Francisco, CA 94108, USA",ChIJ5UwepYmAhYARjS3yZDqk_ZQ,"152 kearny st, San Francisco, CA, 94108",37.7895869,-122.40362,1,94108,OK,street_address
828,ROOFTOP,"1300 9th Ave, San Francisco, CA 94122, USA",ChIJST9jSVyHhYARiM-lV_nirRM,"1300 9th ave, San Francisco, CA, 94122",37.7638745,-122.4661626,1,94122,OK,premise
829,ROOFTOP,"22 Battery St, San Francisco, CA 94111, USA",ChIJE5TZOWKAhYAR1P1gHLVCdNk,"22 battery st, San Francisco, CA, 94111",37.7915858,-122.3993836,1,94111,OK,premise
830,ROOFTOP,"22 Battery St, San Francisco, CA 94111, USA",ChIJE5TZOWKAhYAR1P1gHLVCdNk,"22 battery st #d, San+francisco, CA, 94104",37.7915858,-122.3993836,1,94111,OK,premise
831,ROOFTOP,"74 New Montgomery St, San Francisco, CA 94105, USA",ChIJZ74jqmKAhYARmlJQ9EV4pb4,"74 new montgomery st, San Francisco, CA, 94105",37.7874649,-122.4012865,1,94105,OK,premise
832,ROOFTOP,"2014 Market St, San Francisco, CA 94114, USA",ChIJ6_mNJh5-j4ARhwFuJpX_HEY,"2014 market st, San Francisco, CA, 94114",37.7692732,-122.4278335,1,94114,OK,street_address
833,ROOFTOP,"2014 Market St, San Francisco, CA 94114, USA",ChIJ6_mNJh5-j4ARhwFuJpX_HEY,"2014 market st, San Francisco, CA, 94103",37.7692732,-122.4278335,1,94114,OK,street_address
834,ROOFTOP,"2300 16th Ave, San Francisco, CA 94116, USA",ChIJWQSDXZJ9j4AR0Sv9OEcIENg,"2300 16th ave, San Francisco, CA, 94116",37.7449469,-122.4727518,1,94116,OK,premise
835,ROOFTOP,"100, 2300 16th St, San Francisco, CA 94103, USA",ChIJqdud4zF-j4ARUWHxWkpcXyk,"2300 16th st #245, San+francisco, CA, 94103",37.7659054,-122.407965,4,94103,OK,street_address
836,ROOFTOP,"4828 Geary Blvd, San Francisco, CA 94118, USA",ChIJ2-8IaRaHhYAR0z-nxuLUdDE,"4828 geary blvd, San Francisco, CA, 94118",37.7809756,-122.4712925,1,94118,OK,premise
