"business_id","score","date","type"
1615,"96","20170710","routine"
1615,"98","20180524","routine"
1615,"98","20160504","routine"
1617,"69","20170118","routine"
1617,"71","20180522","routine"
1617,"77","20160601","routine"
1619,"92","20170825","routine"
1619,"90","20180403","routine"
1619,"94","20160628","routine"
1626,"92","20161003","routine"
1631,"80","20180418","routine"
1631,"77","20170726","routine"
1631,"77","20160906","routine"
1631,"83","20160226","routine"
1632,"96","20170830","routine"
1632,"92","20160810","routine"
1632,"96","20180309","routine"
1632,"98","20150821","routine"
1632,"94","20170314","routine"
1632,"92","20160223","routine"
1635,"91","20171215","routine"
1635,"94","20150820","routine"
1641,"85","20160212","routine"
1641,"90","20180716","routine"
1641,"84","20160812","routine"
1641,"77","20170627","routine"
1649,"88","20171129","routine"
1649,"98","20161206","routine"
1652,"78","20180615","routine"
1652,"100","20170627","routine"
1664,"90","20161220","routine"
1664,"98","20180619","routine"
1664,"96","20171108","routine"
1664,"96","20160617","routine"
1668,"98","20170808","routine"
1668,"94","20180501","routine"
1671,"87","20170206","routine"
1671,"89","20151103","routine"
1672,"86","20151113","routine"
1672,"86","20171004","routine"
1672,"94","20170310","routine"
1673,"79","20170608","routine"
1674,"82","20160429","routine"
1674,"87","20161021","routine"
1674,"90","20170628","routine"
1674,"96","20180108","routine"
1685,"76","20161019","routine"
1685,"90","20171127","routine"
1685,"88","20160419","routine"
1687,"96","20160525","routine"
1687,"96","20170920","routine"
1692,"81","20170913","routine"
1692,"82","20160809","routine"
1699,"96","20171108","routine"
1700,"93","20180222","routine"
1700,"89","20161116","routine"
1702,"73","20171130","routine"
1702,"74","20150728","routine"
1703,"86","20180502","routine"
1703,"90","20160502","routine"
1703,"92","20161128","routine"
1710,"91","20180403","routine"
1710,"90","20170221","routine"
1710,"88","20160407","routine"
1712,"96","20180515","routine"
1712,"96","20170112","routine"
1712,"90","20151103","routine"
1724,"83","20161026","routine"
1724,"86","20160309","routine"
1724,"77","20180507","routine"
1726,"92","20180202","routine"
1726,"92","20170314","routine"
1726,"91","20160728","routine"
1727,"88","20160715","routine"
1727,"91","20171117","routine"
1727,"87","20170315","routine"
1727,"90","20160201","routine"
1734,"88","20180509","routine"
1734,"82","20160311","routine"
1734,"81","20170616","routine"
1734,"87","20171120","routine"
1741,"92","20160520","routine"
1741,"90","20170412","routine"
1741,"92","20180426","routine"
1742,"83","20170214","routine"
1742,"90","20180423","routine"
1754,"88","20171024","routine"
1754,"86","20161202","routine"
1754,"78","20160624","routine"
1754,"90","20180711","routine"
1757,"85","20180521","routine"
1757,"79","20160804","routine"
1757,"77","20151222","routine"
1757,"76","20160204","routine"
1757,"86","20170928","routine"
1764,"94","20170216","routine"
1764,"93","20160531","routine"
1768,"94","20180117","routine"
1768,"83","20151120","routine"
1768,"88","20170719","routine"
1768,"100","20180718","routine"
1768,"87","20160705","routine"
1778,"94","20160906","routine"
1778,"94","20171213","routine"
1784,"100","20170512","routine"
1784,"90","20171107","routine"
1784,"90","20180723","routine"
1788,"87","20170124","routine"
